ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_statsbomb_xg2,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.889278,,,,,,,,,,,,,,625af347-cc72-42be-a40a-c6867f75db6b,1603,,,"[35.3, 41.3]",3829332,50,,0.010542757,0.01066959,-0.0001268331,0.014987805,0.013929967,0.0010578381,0.0011846712,,,,1.0173664,,Right Foot,,,,"[45.0, 57.0]",,Ground Pass,,18.45481,,,Marisa Viggiano,,,,,,,1,Regular Play,Ally Prisock,31937.0,Left Center Back,99,Houston Dash,762,['5234e1ab-4689-4260-b3c5-164bdbca34e7'],14,,,,,,,,,,,,,,,Houston Dash,00:50:14.919,Pass,
,,,,,,,,,,,,,,1.362316,,,,,,,,,,,,,,2d41a73f-b656-4cea-b9b1-26d5c05bf8d7,1606,,,"[45.0, 57.2]",3829332,50,,0.011907737,0.010468691,0.0014390461,0.0136723565,0.014987805,-0.0013154484,-0.0027544945,,,,-2.228132,,Right Foot,,,,"[29.1, 36.6]",,Ground Pass,,26.02249,,,Kathleen Naughton,,,,,,,1,Regular Play,Marisa Viggiano,30524.0,Left Center Midfield,99,Houston Dash,762,['e1fe04ec-75db-46b3-a630-32a4ed8b744c'],17,,,,,,,,,,,,,,,Houston Dash,00:50:17.708,Pass,
,,,,,,,,,,,,,,1.019073,,,,,,,,,,,,,,4ce82464-8bbf-45b8-8a0a-6924f2cb518c,1609,,,"[28.8, 36.6]",3829332,50,,0.010695639,0.011712493,-0.0010168543,0.014299424,0.013391614,0.0009078104,0.0019246647,,,,-1.017502,,Right Foot,,,,"[35.1, 26.4]",,Ground Pass,,11.988745,,,Allysha Lyn Chapman,,,,,,,1,Regular Play,Kathleen Naughton,4958.0,Right Center Back,99,Houston Dash,762,['0279c7d5-7689-404d-843d-194dafaffad2'],20,,,,,,,,,,,,,,,Houston Dash,00:50:20.168,Pass,
,,,,,,,,,,,,,,2.134728,,,,,,,,,,,,,,2eac16c3-f64a-4f62-b616-fbfc4f06bd70,1612,,,"[35.1, 26.4]",3829332,50,,0.012038781,0.010695639,0.0013431422,0.009326679,0.014299424,-0.0049727457,-0.006315888,,,,2.7858574,,Right Foot,,,,"[9.8, 35.8]",,Ground Pass,,26.989813,,,Jane Campbell,,,,,,,1,Regular Play,Allysha Lyn Chapman,5038.0,Left Back,99,Houston Dash,762,['b3f40a58-08ae-4bea-b45e-8f0cdb7d9da8'],22,,,,,,,,,,,,,,,Houston Dash,00:50:22.300,Pass,
,,,,,,,,,,,,,,3.00776,,,,,,,,,,,,,,8d04d29a-8a35-45e8-94b2-5a43ebced1c3,1615,,,"[9.8, 35.8]",3829332,50,,0.020519033,0.012038781,0.008480252,0.009428222,0.009326679,0.000101543,-0.008378709,,,,-0.18780562,,Left Foot,,,,"[54.0, 27.4]",,High Pass,,44.99111,,Incomplete,Ebony Salmon,,,,,,,1,Regular Play,Jane Campbell,5056.0,Goalkeeper,99,Houston Dash,762,"['0635f9cc-ebff-4e1c-8618-eba658865b56', '59b1c44e-b450-4fa3-83c8-52b30f344c0f']",24,,,,,,,,,,,,,,,Houston Dash,00:50:24.515,Pass,
,,,,,,,,,,,,,,0.863126,,,,,,,,,,,,,,3d234377-0a18-4a66-8fd4-55937f903496,1619,,,"[70.9, 52.2]",3829332,50,,0.009146409,0.009069751,7.66581e-05,0.024103314,0.022201473,0.0019018408,0.0018251827,,,,0.69473827,,Right Foot,,,,"[80.5, 60.2]",,Ground Pass,,12.4964,,,Jessica Fishlock,,,,,,,1,Regular Play,Quinn Quinn,4951.0,Right Defensive Midfield,100,OL Reign,760,['8a5f2c24-d66e-46b2-ac0f-bc8e78dacd70'],30,,,,,,,,,,,,,,,OL Reign,00:50:30.217,Pass,
,,,,,,,,,,,,,,1.530848,,,,,,,,,,,,,,03926039-2ac4-4341-af62-be7c860e31b6,1622,,,"[80.5, 60.2]",3829332,50,,0.009597683,0.009146409,0.0004512742,0.01867764,0.024103314,-0.005425673,-0.005876947,,,,2.9349093,,Right Foot,,,,"[68.1, 62.8]",,Ground Pass,,12.669649,,,Sofia Huerta,,,,,,,1,Regular Play,Jessica Fishlock,5016.0,Right Wing,100,OL Reign,760,['2aacc353-2e42-4b41-bac4-afc768c8a170'],32,,,,,,,,,,,,,,,OL Reign,00:50:32.125,Pass,
,,,,,,,,,,,,,,1.080139,,,,,,,,,,,,,,0912c7a6-c13d-4aab-ab28-48c12100e11a,1625,,,"[68.1, 62.8]",3829332,50,,0.009308838,0.009597683,-0.000288845,0.02198984,0.01867764,0.0033121984,0.0036010435,,,,-1.380808,,Left Foot,,,,"[70.1, 52.4]",,Ground Pass,,10.590562,,,Quinn Quinn,,,,,,,1,Regular Play,Sofia Huerta,5105.0,Right Back,100,OL Reign,760,['782c92dc-625e-4267-a6f2-4008fe4604b8'],33,,,,,,,,,,,,,,,OL Reign,00:50:33.687,Pass,
,,,,,,,,,,,,,,2.109322,,,,,,,,,,,,,,febeffb9-26c0-4eea-bc12-a2f1677bd8a2,1628,,,"[70.1, 52.4]",3829332,50,,0.010024818,0.009308838,0.0007159794,0.009216256,0.02198984,-0.012773583,-0.013489562,,,,-0.9290303,,Right Foot,,,,"[90.8, 24.7]",,High Pass,,34.58005,,Pass Offside,Megan Anna Rapinoe,,,,,,,1,Regular Play,Quinn Quinn,4951.0,Right Defensive Midfield,100,OL Reign,760,['922b9904-6041-497c-bf87-3b0f02a70725'],35,,,,,,,,,,,,,,,OL Reign,00:50:35.704,Pass,
,,,,,,,,,,,,,,1.94451,,,,,,,,,,,,,,da1a023b-45e7-42ff-abf0-43e9fc03acbd,1630,,,"[29.3, 57.2]",3829332,50,,0.014011239,0.009216256,0.0047949823,0.010749184,0.010024818,0.0007243659,-0.0040706163,True,,,-0.056377582,,Right Foot,,,,"[86.0, 54.0]",,High Pass,,56.79023,,Incomplete,Ebony Salmon,,,,,Free Kick,,1,From Free Kick,Natalie Jacobs,42260.0,Right Back,101,Houston Dash,762,"['94cc0acb-7fe3-46fd-99e9-002c5f3de06d', 'c4b0bac2-21dc-4bad-a527-5d35e95f7b47']",43,,,,,,,,,,,,,,,Houston Dash,00:50:43.613,Pass,
,,,,,,,,,,,,,,1.814372,,,,,,,,,,,,,,25514c0b-0a8b-49a2-a823-95b24a3231af,1634,,,"[45.7, 18.6]",3829332,50,,0.010221976,0.010138879,8.30973e-05,0.014059284,0.014699856,-0.000640572,-0.0007236693,,,,2.074826,,Left Foot,,,,"[35.0, 38.0]",,Ground Pass,,22.155134,,,Alana Cook,,,,,,,1,Regular Play,Lauren Barnes,5065.0,Left Center Back,102,OL Reign,760,['895005f5-fde9-4e6e-b26d-55a75aa9f107'],48,,,,,,,,,,,,,,,OL Reign,00:50:48.550,Pass,
,,,,,,,,,,,,,,2.245412,,,,,,,,,,,,,,5d98f5e7-ddad-4761-81ed-2090cf102272,1637,,,"[35.0, 37.5]",3829332,50,,0.0101251295,0.010221976,-9.68464e-05,0.015094248,0.014059284,0.0010349638,0.0011318102,,,,1.1351788,,Right Foot,,,,"[45.1, 59.2]",,Ground Pass,,23.93533,,,Sofia Huerta,,,,,,,1,Regular Play,Alana Cook,24694.0,Right Center Back,102,OL Reign,760,['08926e7b-abc1-448c-ba1e-00e49deffc0b'],51,,,,,,,,,,,,,,,OL Reign,00:50:51.263,Pass,
,,,,,,,,,,,,,,1.436092,,,,,,,,,,,,,,273bc6e4-0343-4193-a4c7-8d0877ea4803,1640,,,"[45.6, 60.4]",3829332,50,,0.013399554,0.0104830405,0.002916514,0.011551756,0.015023791,-0.0034720348,-0.0063885488,,,,-2.55359,,Right Foot,,,,"[33.6, 52.4]",,Ground Pass,,14.422205,,,Alana Cook,,,,,,,1,Regular Play,Sofia Huerta,5105.0,Right Back,102,OL Reign,760,['a9466e8b-f421-43ab-aa47-66612c5db1ca'],54,,,,,,,,,,,,,,,OL Reign,00:50:54.717,Pass,
